+==========================================================================================================+
|                                        cv_MICRO_SEQ_OP ( 3 bits)                                         |
|                                         microprogram_word[46:44]                                         |
+==========================================================================================================+
Use Count:
     OP_CONTINUE (0) | 0 (default) (equate not used!) 
         OP_JUMP (1) |###################### 22
         OP_CALL (2) | 0 (equate not used!) 
       OP_RETURN (3) | 0 (equate not used!) 
  OP_JUMP_TABLE_B (4) |###### 6
  OP_JUMP_TABLE_A_NEXT_PC (5) |################################ 32 (clipped)

Decode Use Count:
     OP_CONTINUE (0) | 0 (default) (equate not used!) 
         OP_JUMP (1) | 0 (equate not used!) 
         OP_CALL (2) | 0 (equate not used!) 
       OP_RETURN (3) | 0 (equate not used!) 
  OP_JUMP_TABLE_B (4) | 0 (equate not used!) 
  OP_JUMP_TABLE_A_NEXT_PC (5) | 0 (equate not used!) 


+==========================================================================================================+
|                                    cv_MICRO_SEQ_BRANCH_ADDR ( 8 bits)                                    |
|                                         microprogram_word[43:36]                                         |
+==========================================================================================================+
Use Count:
          RESET (00) | 0 (default) (equate not used!) 
     LD_DIR_EXT (01) | 0 (equate not used!) 
     LD_INDEXED (02) | 0 (equate not used!) 
    LD_INDIRECT (03) | 0 (equate not used!) 
     ST_INDEXED (04) | 0 (equate not used!) 
    ST_INDIRECT (05) | 0 (equate not used!) 
            ABX (06) | 0 (equate not used!) 
            EXG (07) | 0 (equate not used!) 
         LEA_SU (0A) | 0 (equate not used!) 
         LEA_XY (0B) | 0 (equate not used!) 
            NOP (0C) |## 2
          SAU16 (0D) |# 1
     SAU16_DONE (0E) | 0 (equate not used!) 
           SAU8 (0F) |# 1
      SAU8_DONE (10) |# 1
            SEX (11) | 0 (equate not used!) 
            CPY (12) | 0 (equate not used!) 
       CPY_LOOP (13) |# 1
            TFR (15) | 0 (equate not used!) 
            ADC (16) | 0 (equate not used!) 
            ADD (17) | 0 (equate not used!) 
            AND (18) | 0 (equate not used!) 
          ANDCC (19) | 0 (equate not used!) 
            BIT (1A) | 0 (equate not used!) 
            CMP (1B) | 0 (equate not used!) 
            EOR (1C) | 0 (equate not used!) 
             LD (1D) | 0 (equate not used!) 
             OR (1E) | 0 (equate not used!) 
           ORCC (1F) | 0 (equate not used!) 
            SBC (20) | 0 (equate not used!) 
            SUB (21) | 0 (equate not used!) 
             ST (22) | 0 (equate not used!) 
        ASL_LSL (23) | 0 (equate not used!) 
            ASR (24) | 0 (equate not used!) 
            CLR (25) | 0 (equate not used!) 
            COM (26) | 0 (equate not used!) 
            DEC (27) | 0 (equate not used!) 
            INC (28) | 0 (equate not used!) 
            LSR (29) | 0 (equate not used!) 
            NEG (2A) | 0 (equate not used!) 
            ROL (2B) | 0 (equate not used!) 
            ROR (2C) | 0 (equate not used!) 
            TST (2D) | 0 (equate not used!) 
         BRANCH (2E) | 0 (equate not used!) 
      GO_NEW_PC (2F) |##### 5
            JMP (30) |#### 4
            JSR (31) | 0 (equate not used!) 
            RTS (32) |# 1
            RTI (33) | 0 (equate not used!) 
        RTI_CCR (35) | 0 (equate not used!) 
     RTI_TEST_E (36) | 0 (equate not used!) 
    RTI_PUL_ALL (37) | 0 (equate not used!) 
            PUL (38) | 0 (equate not used!) 
       PUL_LOOP (3A) |## 2
       PUL_DONE (3B) |# 1
            PSH (3C) | 0 (equate not used!) 
       PSH_LOOP (3D) |# 1
            SWI (3F) | 0 (equate not used!) 
       SWI_LOOP (40) |# 1
           TRAP (FF) |# 1

Decode Use Count:
          RESET (00) | 0 (default) (equate not used!) 
     LD_DIR_EXT (01) |#################################################################################### 84 (clipped)
     LD_INDEXED (02) |########################################## 42 (clipped)
    LD_INDIRECT (03) | 0 (equate not used!) 
     ST_INDEXED (04) |############## 14
    ST_INDIRECT (05) | 0 (equate not used!) 
            ABX (06) |# 1
            EXG (07) |# 1
         LEA_SU (0A) |## 2
         LEA_XY (0B) |## 2
            NOP (0C) |### 3
          SAU16 (0D) |### 3
     SAU16_DONE (0E) | 0 (equate not used!) 
           SAU8 (0F) |## 2
